"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"ChunkPayload accepts all required fields","0","test_sch_01","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunkPayload","test_chunk_payload","",""
"Results are typed RetrievalResult with correct field types","15","test_ret_06","tests.integration","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestDocsRetrieval","test_docs_retrieval","",""
"latency_ms is present and > 0","13","test_obs_03","tests.observability","Mon Apr 20 21:57:57 UTC 2026","passed","Mon Apr 20 21:57:57 UTC 2026","TestLogging","test_logging","",""
"Different texts produce different vectors","19","test_emb_05","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestEmbeddings","test_embeddings","",""
"RAGResponse accepts valid fields, route defaults to None","1","test_sch_12","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestRAGResponse","test_rag_response","",""
"Same input always produces the same vector (deterministic)","19","test_emb_04","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestEmbeddings","test_embeddings","",""
"Source filename propagates to every chunk","1","test_chk_06","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestChunking","test_chunking","",""
"ToolKit exposes exactly 4 tools","0","test_tls_01","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestToolsFormat","test_tools_format","",""
"QueryRoute accepts all three valid intents: docs, troubleshooting, faq","0","test_sch_08","tests.unit","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestQueryRoute","test_query_route","",""
"GET /health returns 200 with {'status': 'ok'}","5","test_api_01","tests.integration","Mon Apr 20 21:57:56 UTC 2026","passed","Mon Apr 20 21:57:56 UTC 2026","TestHealthEndpoint","test_health_endpoint","",""
